NEW YORK,less than 1 month,BEST/Site Safety
NEW YORK,less than 10 days,General Construction/Plumbing
BRONX,less than 10 days,ELECTRIC
NEW YORK,less than 5 days,HEATING
BROOKLYN,less than 20 days,HEATING
ASTORIA,longer than 1 month,PLUMBING
COLLEGE POINT,less than 1 day,Street Condition
BROOKLYN,less than 1 day,Sewer
BRONX,less than 5 days,ELECTRIC
BRONX,less than 5 days,PLUMBING
BRONX,less than 5 days,HEATING
FLUSHING,less than 1 day,Street Condition
NEW YORK,less than 5 days,Noise
FLUSHING,less than 1 day,Plumbing
BROOKLYN,longer than 1 month,PLUMBING
BROOKLYN,less than 20 days,PLUMBING
BROOKLYN,less than 5 days,HEATING
NEW YORK,less than 5 days,HEATING
NEW YORK,less than 10 days,GENERAL CONSTRUCTION
BRONX,longer than 1 month,PAINT - PLASTER
NEW YORK,less than 20 days,HEATING
NEW YORK,longer than 1 month,GENERAL CONSTRUCTION
BROOKLYN,less than 1 day,Sanitation Condition
BRONX,less than 1 month,GENERAL CONSTRUCTION
FLORAL PARK,less than 1 day,General Construction/Plumbing
BROOKLYN,less than 1 day,Asbestos
WOODHAVEN,less than 5 days,HEATING
FLUSHING,longer than 1 month,Building/Use
BRONX,less than 1 month,PLUMBING
BRONX,less than 10 days,PAINT - PLASTER
BROOKLYN,less than 5 days,Sewer
BROOKLYN,less than 5 days,HEATING
ASTORIA,less than 1 day,Sewer
BRONX,longer than 1 month,PAINT - PLASTER
STATEN ISLAND,less than 5 days,General Construction/Plumbing
BRONX,less than 10 days,PLUMBING
BROOKLYN,less than 1 day,Sewer
BROOKLYN,less than 1 month,PLUMBING
NEW YORK,less than 1 month,PLUMBING
BRONX,less than 10 days,HEATING
OZONE PARK,less than 5 days,HEATING
BRONX,less than 10 days,Street Condition
BROOKLYN,less than 5 days,Dirty Conditions
BRONX,less than 10 days,ELECTRIC
NEW YORK,less than 5 days,Noise
BRONX,less than 5 days,HEATING
SOUTH RICHMOND HILL,less than 20 days,General Construction/Plumbing
NEW YORK,less than 10 days,PAINT - PLASTER
BROOKLYN,less than 1 day,Traffic Signal Condition
STATEN ISLAND,less than 10 days,Street Condition
NEW YORK,less than 1 day,Asbestos
JAMAICA,less than 10 days,HEATING
HOWARD BEACH,less than 10 days,Water System
BRONX,less than 20 days,PLUMBING
BROOKLYN,less than 1 day,General Construction/Plumbing
NEW YORK,less than 1 month,PLUMBING
NEW YORK,less than 1 day,General Construction/Plumbing
BROOKLYN,longer than 1 month,BEST/Site Safety
NEW YORK,less than 1 day,General Construction/Plumbing
BROOKLYN,less than 1 day,General Construction/Plumbing
FAR ROCKAWAY,longer than 1 month,GENERAL CONSTRUCTION
NEW YORK,less than 10 days,GENERAL CONSTRUCTION
EAST ELMHURST,less than 1 month,Building/Use
STATEN ISLAND,less than 5 days,Building/Use
MASPETH,less than 1 day,Sanitation Condition
BRONX,less than 1 day,Street Condition
ELMHURST,longer than 1 month,PAINT - PLASTER
BRONX,longer than 1 month,PLUMBING
BRONX,less than 10 days,GENERAL CONSTRUCTION
NEW YORK,less than 10 days,HEATING
BROOKLYN,longer than 1 month,General Construction/Plumbing
WOODSIDE,less than 5 days,HEATING
NEW YORK,less than 5 days,HEATING
ROCKAWAY PARK,less than 10 days,GENERAL CONSTRUCTION
FAR ROCKAWAY,less than 1 day,Sewer
NEW YORK,less than 1 day,General Construction/Plumbing
BRONX,less than 10 days,HEATING
BRONX,less than 1 day,General Construction/Plumbing
BROOKLYN,less than 5 days,HEATING
BRONX,less than 5 days,HEATING
BROOKLYN,longer than 1 month,PAINT - PLASTER
BROOKLYN,less than 5 days,Street Condition
NEW YORK,less than 1 day,Noise
NEW YORK,less than 20 days,NONCONST
BRONX,less than 1 day,HEATING
BROOKLYN,less than 5 days,HEATING
JAMAICA,less than 5 days,Sewer
NEW YORK,less than 10 days,NONCONST
RIDGEWOOD,less than 10 days,Street Condition
BROOKLYN,less than 10 days,HEATING
JAMAICA,less than 5 days,HEATING
BROOKLYN,less than 10 days,HEATING
ROCKAWAY PARK,less than 1 month,Building/Use
JAMAICA,less than 1 day,Sewer
BROOKLYN,longer than 1 month,PLUMBING
COLLEGE POINT,longer than 1 month,General Construction/Plumbing
EAST ELMHURST,less than 20 days,PLUMBING
BRONX,less than 5 days,HEATING
NEW YORK,less than 10 days,HEATING
BRONX,less than 10 days,HEATING
NEW YORK,less than 5 days,HEATING
BRONX,less than 20 days,PLUMBING
ASTORIA,less than 1 month,PLUMBING
NEW YORK,less than 20 days,GENERAL CONSTRUCTION
SOUTH OZONE PARK,less than 1 day,General Construction/Plumbing
JAMAICA,less than 1 month,PLUMBING
JAMAICA,less than 1 day,Dirty Conditions
BRONX,longer than 1 month,GENERAL CONSTRUCTION
NEW YORK,less than 5 days,GENERAL CONSTRUCTION
BRONX,less than 10 days,Dirty Conditions
ROCKAWAY PARK,less than 5 days,HEATING
BRONX,less than 1 day,Street Condition
NEW YORK,less than 5 days,General Construction/Plumbing
BRONX,less than 10 days,GENERAL CONSTRUCTION
BRONX,less than 10 days,PAINT - PLASTER
SOUTH OZONE PARK,less than 20 days,Building/Use
BROOKLYN,less than 5 days,HEATING
BRONX,less than 10 days,HEATING
LONG ISLAND CITY,less than 20 days,General Construction/Plumbing
BROOKLYN,less than 10 days,HEATING
NEW YORK,longer than 1 month,Water System
NEW YORK,longer than 1 month,NONCONST
BROOKLYN,less than 1 day,Sewer
BROOKLYN,less than 10 days,HEATING
BRONX,less than 20 days,PLUMBING
STATEN ISLAND,less than 10 days,Street Condition
BROOKLYN,longer than 1 month,NONCONST
BRONX,less than 1 day,Street Condition
BRONX,longer than 1 month,PAINT - PLASTER
BROOKLYN,less than 10 days,General Construction/Plumbing
BROOKLYN,less than 10 days,NONCONST
BROOKLYN,less than 10 days,HEATING
NEW YORK,less than 10 days,Noise
FLUSHING,less than 10 days,Street Condition
JAMAICA,less than 1 day,Street Condition
SOUTH OZONE PARK,less than 5 days,Street Condition
BROOKLYN,longer than 1 month,GENERAL CONSTRUCTION
BROOKLYN,less than 5 days,ELECTRIC
NEW YORK,less than 10 days,PLUMBING
